Track URI,Track Name,Album URI
spotify:track:69YyPU1oElukhL5jgMi2wA,Come Home with Me,spotify:album:2ploE2Xfb4u43TnK7OAos3
spotify:track:40ay0VMg01sF2trze2DrNL,Drop the Boy,spotify:album:2Fge13BVj9xQN1VAzylpu5
spotify:track:66CFbqJScx6zRieGllITcs,See You Again (feat. Charlie Puth),spotify:album:5Nwsra93UQYJ6xxcjcE10x
spotify:track:1KONmY3enP3r3nIPQidWAy,Now That We Found Love,spotify:album:4bAwnTaD8QcruiVdb1zzzY
spotify:track:4MPTj8lMMvxLwT3EwuXFop,Call Out My Name,spotify:album:3N88bRVAwQrtKqSV0UgU69
spotify:track:0FExfsU24F7hO8f1UOtApd,Love Letters,spotify:album:4Tzok4AlxCpo8YVFRWKk3a
spotify:track:7s25THrKz86DM225dOYwnr,Respect,spotify:album:5WndWfzGwCkHzAbQXVkg2V
spotify:track:3h9mCACYWP4iDVFEBhyyYC,"Doin' The Do - 7"" Radio Mix",spotify:album:6945nocZM0gGU8U9IG0gzp
spotify:track:3zByVQLvdXUaDTubfWkpCk,Sweet Caroline,spotify:album:3aLKBtYt2B0XdLaTtBzF2n
spotify:track:4qO03RMQm88DdpTJcxlglY,Call Me,spotify:album:5HRB9TeaIHRBxfIm4XZTj6
spotify:track:0JCAezTC5IlK1a9o0YBEsD,Don't Take It Personal (Just One of Dem Days),spotify:album:71mPApAzW9HkbUGdYzMQHb
spotify:track:0lefFBLiBwU0Qu24NRazZ3,48 Crash,spotify:album:3NsZev3pxengJeEoTeuzGb
spotify:track:4dVbhS6OiYvFikshyaQaCN,My Hero,spotify:album:30ly6F6Xl0TKmyBCU50Khv
spotify:track:2NniAhAtkRACaMeYt48xlD,50 Ways to Say Goodbye,spotify:album:5zseibu9WEsPaZmkJUMkz1
spotify:track:5edBgVtRD0fvWk140Sl21T,Counting Stars,spotify:album:1Cm6wsvnTlOXrfI9PkD8i4
spotify:track:6DU7X9yhp4xgkhNHJxgEOZ,House of the Rising Sun,spotify:album:0iJw85z9TeTC0aVrIbwEEf
spotify:track:6eypw7fGYBtYxD3dCE2pld,Do It Again,spotify:album:59BUTEyxgum2KPZMwrJjVr
spotify:track:0EPZixF5ti4OsA8lYrerrg,Together We Are Beautiful,spotify:album:72s8oZlUJivGKedxe6qRHr
spotify:track:0YWUf0FuvbOvAlrOAVaH8S,Keep It Comin' Love,spotify:album:1nxHfb1EerQyKdT1aLSXf6
spotify:track:6Q25js1UmXo9I5HZJbZlRM,Stay Awhile,spotify:album:4Yc1RNQWCkaGHzI0Hpwvj5
spotify:track:6SCsRA5HxLfOtN4sQN2Lkl,Me Myself & I,spotify:album:35sTz7u09awxYdiisycnq0
spotify:track:7FCfMXYTIiQ9b4hDYs4Iol,Be the One,spotify:album:01sfgrNbnnPUEyz6GZYlt9
spotify:track:2V65y3PX4DkRhy1djlxd9p,Don't You Worry Child - Radio Edit,spotify:album:3RKhRsifs4RWrqvWV1YpPY
spotify:track:1y5V5qja332UyMeUurFhDS,Private Idaho,spotify:album:1K4t7Jv7DuolDWnFLxKxkd
spotify:track:3maCmHhpmJ6hzJjEnm0ieT,I Never Told You,spotify:album:2O9W3UoJ6veHK6htH4PpSo
spotify:track:0p1cpgsmrHcYJ4kOvOSPsw,Saving All My Love For You,spotify:album:0kgt4qRi4nH6refkbZiCr6
spotify:track:6EbduYTr62sSzvl36wWiFM,BLOW (with Chris Stapleton & Bruno Mars),spotify:album:4uoEruXjt0APvHaSqrwqPH
spotify:track:5MTqczrMNkxZbFghiopgHL,Wonderful,spotify:album:1IzGIg7yq3LsiP2kH0Yusz
spotify:track:4BleCosIwhk39RY0YuZ7q5,Up/Down,spotify:album:2PzvfJGK74FgwPrvMB0qOh
spotify:track:6N7gPTru90HYLRUIVDQ185,More Than This,spotify:album:3JXODSjT9mUz2lIb4YIErw
spotify:track:2ezqQeBiC72gwMJoO4w1hA,Every Time I Close My Eyes (with Kenny G),spotify:album:66Vhr3F0vp90jhQUlcf4Sk
spotify:track:6m3Lr9MgnLrWTKM33UppRA,"Uptown Festival - 7"" Version",spotify:album:7dK8UkFgnIpM1b1Ru5rcCQ
spotify:track:5RC9olve1FVs1bnIneatm8,Free,spotify:album:5k8evXM0YJNZpCQ0dMXGCJ
spotify:track:3xjLAPMsYy32W9oFHsSsGl,Have You Ever Really Loved A Woman?,spotify:album:60E1kV0xn3LFWfUCEWgJub
spotify:track:7vS3Y0IKjde7Xg85LWIEdP,Problem,spotify:album:6EVYTRG1drKdO8OnIQBeEj
spotify:track:3iuDPdkt1l3L4MH1kPIuGc,No More Lonely Nights (Ballad),spotify:album:42XGL4SP2b0D3HoeMlPJHQ
spotify:track:1UREw2MCfU0xwBzCAjxlUD,Scars,spotify:album:25wlsi7SWD8mFKxaEWGYuL
spotify:track:0ildbAb2xouV6u4fsix9r3,One Track Mind,spotify:album:4qIVSOSPRNCW7M0n8VaW3g
spotify:track:3EkEomllpfXPPIGVFvZcEq,Cheap Wine - 2011 Remastered,spotify:album:4WQVLiXpiYlFpKXCyheZU3
spotify:track:2eHj0klWkwRQuIrNlPpCPa,I'm Every Woman,spotify:album:7JVJlkNNobS0GSoy4tCS96
spotify:track:2UaJdr9yD2S0bi9cDhIiEP,"Because I Got High - From ""Jay And Silent Bob Strike Back"" Soundtrack",spotify:album:7CF3mddOyvQ90tus1iZ47E
spotify:track:2UTxbNsUMfXGetZH7CUzoc,Love is a Beautiful Song,spotify:album:5xvWhYvc4rAiDB2BgDdTUo
spotify:track:4DNKFfL7Q1JTOHzmADofwL,You Belong To Me - JX Mix,spotify:album:0jf6SwV9h2dJz11e3zDIHd
spotify:track:5TM2eqdzfWPHklI7YnBmsD,Blister in the Sun - 2002 Remastered Version,spotify:album:2G9onFLGqlMJd1ThYf0vIB
spotify:track:0g8Dq6OpSmWengqtLrVr77,The Reaper,spotify:album:01GR4NL5O5CZM51k0aejKD
spotify:track:0kAqXgYBiJp5euIc4H1Aa4,Follow The Sun,spotify:album:5YVxyuEcbkcXyDgU9XPnrx
spotify:track:2e0nVBn2Qj5DPvcLFGfH5W,Ain't No Love (Ain't No Use) [feat. Melanie Williams],spotify:album:0TyQpOi3Ws2QydVDFgT0tL
spotify:track:3TW48DvQ7ChwY1Yy1tkMaP,Runaway Train (2022 Remaster),spotify:album:3EFhsxrJoH3yE3r8bHheE6
spotify:track:0FcWutmFaffgmSchemHj4h,All I Want,spotify:album:2irmzJu4CDZifv7NquPDGM
spotify:track:6PJ8FF6UR8FZXfEvpHkIVN,How Would You Feel (Paean),spotify:album:3T4tUhGYeRNVUGevb0wThu
spotify:track:7pf4fveVxB7uQQhP9sYOSO,Greatest Hits Megamix - Jewels & Stone Remix,spotify:album:5jSAkaiC1BBKZQSZ7wFYOY
spotify:track:6aJ90LBl96bly9zuEH1U2X,This Is How We Do It,spotify:album:6J9fX2iXc9W7ILQUWvEhAx
spotify:track:3cq6mwsjgygbwRIi9wVPGv,Mr. Bojangles - Remastered 2001,spotify:album:2ZJcwgKQMSLyQAfBJsWfbD
spotify:track:66ujRcQB3xjilVohGyvTKM,San Francisco (Be Sure to Wear Flowers in Your Hair),spotify:album:28oPljw32I8H4LWfdQ2z7z
spotify:track:43rA71bccXFGD4C8GOpIlN,I Forgot That You Existed,spotify:album:1NAmidJlEaVgA3MpcPFYGq
spotify:track:5UJshy5HDHdNEVqlJwzsQB,Versace on the Floor (Bruno Mars vs. David Guetta),spotify:album:0yDiMZdbFwO5lGB9Dq5wlL
spotify:track:1dNpILhORN3txo1mPIAMpc,Breakout,spotify:album:4xb5h9HfsJ5abpnv4yDRRC
spotify:track:1I8tHoNBFTuoJAlh4hfVVE,Firestone,spotify:album:0uMIzWh1uEpHEBell4rlF8
spotify:track:0EiV5cF6FoOiwLHWbVMrqd,Til Death - Denzal Park Radio Edit,spotify:album:7ge2XRwQBXK0oAtQn52ggh
spotify:track:5Y8sslyf4YIBYxYUYmY52K,The Time Warp,spotify:album:1llln24xqen4HG9w0Gpgua
spotify:track:4LD5dhQ3kqpqe14sGPDtBC,Scream,spotify:album:3OBhnTLrvkoEEETjFA3Qfk
spotify:track:0zmvQOn3dP2LLOENxz9XC3,AFTERGLOW,spotify:album:76hqEMQKrJpYntZVub1wlG
spotify:track:5pDM1xfBg3IL1yMvroLW88,I Dig Rock and Roll Music - 2004 Remaster,spotify:album:14Qo0TZ3M82PC4EFTt39X0
spotify:track:1CetnEx843dN0s9fT0CMhc,Makes Me Wonder,spotify:album:1cCm3jwAW9eJtEGyzpxlXY
spotify:track:26gceVsA1ybT8qsX3aYLEn,Thunder,spotify:album:57lkUmA6WunanwJRN1RsGD
spotify:track:6ZANrVuAMp2rpjhfbOuJly,Same Old Love,spotify:album:3Kbuu2tHsIbplFUkB7a5oE
spotify:track:1DSJNBNhGZCigg9ll5VeZv,(You Drive Me) Crazy,spotify:album:3WNxdumkSMGMJRhEgK80qx
spotify:track:2rtSjGAgCkHL5mKboZMVgD,Free Loop,spotify:album:4zhigAhPwqp43XVHBiVeQI
spotify:track:4rRRVHoBP8v42QdOivhhfj,Two Strong Hearts,spotify:album:4Zm7KcV47uD0sHageJyq2h
spotify:track:5ULebABr6yD27jgCaBm1Lp,Levels,spotify:album:2YoTBTn4jykeDlHOI9sqnj
spotify:track:6nNvZwiPx3AOf8MyAke9b4,When You Believe - from The Prince of Egypt,spotify:album:44mthU2qR57JhTbDeoBcby
spotify:track:77tfHVcjhVnMI9oyL63tWW,Never Be The Same Again - Single Mix,spotify:album:6TjfhQSmmBOEwIXkoT3fdZ
spotify:track:4CTX9iU2a0Q9vM2T4YMUQL,Stole,spotify:album:3nrQeLjGJNdYsjJ8JVPKAf
spotify:track:7eD2qAkE1EAs9poZhpVD6o,Before the Worst,spotify:album:51Hn2Wiq1jmUfI0BLaUhuF
spotify:track:3SWIQx1j5erTiT9IXcaRNH,"That Sunday, That Summer",spotify:album:5jA1HyOHqWy718lEXH2koC
spotify:track:6xPjMFdFPl5HYDyXWV8iFa,Burn Your Name,spotify:album:1eYpJevvvxSRiyTyunmiw2
spotify:track:1N4SvoVXzF4NAHZMiob3jA,Welcome To My World,spotify:album:5mg3ouVDu6pgPq2ajdnFCO
spotify:track:6lvsJDZ7336YmpBzcNGhbe,fOoL fOr YoU,spotify:album:5amj9zNeZ3B2EdpBgXrOZ0
spotify:track:4l0Yeb1SCLPuRXaKjORFhN,Lady Godiva - Mono; 2003 Remaster,spotify:album:4J3Ei1ibnoclDjwNPYy4LJ
spotify:track:4vS8VaBwJJV5Ry7UFIQuoo,Lean On (feat. MØ & DJ Snake),spotify:album:4DOcG4A40Wf3q2vPNGQwQg
spotify:track:2zjDv3FWXNdGEmXmIYf1yV,You Found Me,spotify:album:2bE8GcQ4FpUrYaPwZpg9QL
spotify:track:0dMd4rilfd6gPbXaLpNYhu,Higher Ground,spotify:album:5jgI8Eminx9MmLBontDWq8
